Tabulated Temporal Distribution Data,
NOAA Atlas 14 Volume 1 Version 3.2,
Semiarid Southwest Convective Area,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 12-hour duration.  ,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,

First Quartile,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,66.7,95.4,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
20%,0,55.9,87.9,97.9,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
30%,0,45.7,79.4,94.2,98.3,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100
40%,0,36.5,69.0,87.3,94.1,97.4,99.1,99.8,100.0,100.0,100.0,100.0,100
50%,0,28.0,57.8,78.2,87.9,92.9,96.0,98.0,99.2,99.8,100.0,100.0,100
60%,0,21.7,47.8,68.3,79.8,86.7,91.3,94.4,96.9,98.7,99.7,100.0,100
70%,0,16.2,38.9,58.6,70.3,78.1,84.3,89.2,92.6,95.5,98.0,99.5,100
80%,0,11.7,30.0,47.8,59.4,67.1,73.5,79.5,85.1,90.0,94.2,97.6,100
90%,0,7.8,22.1,37.4,47.6,54.7,61.5,68.3,74.7,81.2,87.8,93.9,100

Second Quartile,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,15.3,27.3,43.6,68.1,88.2,97.1,99.7,100.0,100.0,100.0,100.0,100
20%,0,11.0,21.4,35.6,56.4,76.6,89.4,95.7,98.6,99.7,100.0,100.0,100
30%,0,8.8,18.1,30.8,49.0,68.2,82.4,90.9,95.6,98.3,99.6,100.0,100
40%,0,7.5,15.6,27.0,43.2,61.1,76.2,86.0,91.7,95.6,98.3,99.6,100
50%,0,6.5,13.6,23.7,38.9,56.3,70.9,81.1,88.1,92.9,96.4,98.7,100
60%,0,5.4,11.7,20.9,34.9,51.6,66.5,77.3,84.5,89.8,94.2,97.6,100
70%,0,4.3,9.4,17.5,30.1,46.1,61.6,73.0,80.5,86.4,91.6,96.2,100
80%,0,3.2,7.2,13.9,25.1,40.8,56.8,68.3,75.8,82.5,88.7,94.4,100
90%,0,1.9,4.4,9.2,19.0,34.3,49.9,60.8,69.0,76.6,83.9,91.7,100

Third Quartile,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,14.3,24.0,30.7,37.1,44.2,54.6,71.2,88.0,97.2,99.7,100.0,100
20%,0,10.0,18.5,25.5,31.9,38.9,49.3,64.7,81.0,92.4,97.9,99.7,100
30%,0,8.3,15.8,22.2,28.3,35.4,45.4,59.9,76.1,88.6,95.6,98.9,100
40%,0,6.9,13.5,19.7,25.8,32.8,42.3,55.9,71.7,84.8,93.3,98.0,100
50%,0,6.1,11.9,17.4,23.1,29.8,39.2,52.6,68.0,81.5,91.0,96.7,100
60%,0,5.0,9.7,14.7,20.1,26.3,35.3,48.7,64.7,79.1,89.1,95.5,100
70%,0,4.0,7.9,12.1,17.0,23.3,32.1,45.0,61.0,75.8,86.6,94.0,100
80%,0,3.0,6.0,9.0,12.7,18.4,26.7,39.4,56.0,71.9,83.7,92.5,100
90%,0,1.8,3.8,6.1,8.6,12.4,19.4,31.3,49.1,67.5,80.9,90.7,100

Fourth Quartile,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
