Tabulated Temporal Distribution Data,
NOAA Atlas 14 Volume 2 Version 2.1,
Ohio River Basin and Surrounding States,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 24-hour duration.  ,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,

First Quartile,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,55.1,85.7,96.2,99.1,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20%,0,41.8,71.0,86.7,94.4,97.9,99.3,99.8,100.0,100.0,100.0,100.0,100.0
30%,0,33.3,59.6,76.8,87.2,93.2,96.5,98.5,99.5,99.9,100.0,100.0,100.0
40%,0,26.9,50.9,68.3,79.4,86.6,91.5,95.1,97.7,99.2,99.8,100.0,100.0
50%,0,21.8,43.5,60.9,72.0,79.1,84.7,89.7,93.9,96.9,98.9,99.8,100.0
60%,0,17.4,37.4,54.6,65.6,72.5,77.9,83.3,88.5,93.1,96.8,99.1,100.0
70%,0,14.0,32.2,48.8,59.1,65.4,70.9,76.6,82.4,87.9,93.1,97.3,100.0
80%,0,10.8,27.0,43.1,53.1,59.2,64.4,69.6,75.0,81.2,88.1,94.6,100.0
90%,0,7.4,21.3,36.7,46.2,51.8,56.9,61.6,66.6,72.7,80.4,89.7,100.0

Second Quartile,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,14.3,26.2,41.7,64.3,85.1,96.1,99.4,100.0,100.0,100.0,100.0,100.0
20%,0,10.4,20.9,35.1,55.3,76.2,90.6,97.4,99.5,100.0,100.0,100.0,100.0
30%,0,8.2,17.5,30.5,49.0,69.1,85.0,94.2,98.2,99.6,100.0,100.0,100.0
40%,0,6.7,14.9,26.8,43.8,63.1,79.7,90.4,96.1,98.7,99.7,100.0,100.0
50%,0,5.5,12.6,23.3,39.0,57.7,74.6,86.3,93.1,96.9,99.0,99.8,100.0
60%,0,4.4,10.4,19.9,34.4,52.3,69.1,81.3,89.0,94.1,97.5,99.4,100.0
70%,0,3.5,8.4,16.6,30.0,47.5,64.4,76.5,84.3,90.1,94.8,98.1,100.0
80%,0,2.4,5.9,12.7,24.8,41.9,59.0,70.9,78.7,85.1,91.0,96.1,100.0
90%,0,1.5,3.5,7.7,17.5,34.4,52.4,64.2,71.6,78.7,86.0,93.1,100.0

Third Quartile,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,13.9,23.7,30.5,36.7,43.4,55.4,74.8,91.6,98.7,99.9,100.0,100.0
20%,0,10.0,18.4,25.0,30.9,37.8,49.4,67.5,85.6,96.0,99.3,100.0,100.0
30%,0,7.7,14.6,20.8,26.8,33.7,44.5,61.2,79.8,92.7,98.3,99.8,100.0
40%,0,6.0,11.9,17.4,22.9,29.6,40.0,56.0,74.7,89.2,96.7,99.4,100.0
50%,0,4.7,9.6,14.4,19.5,25.8,35.8,51.2,69.6,85.2,94.4,98.6,100.0
60%,0,3.7,7.6,11.6,16.0,22.1,31.7,46.5,64.9,81.4,91.9,97.4,100.0
70%,0,2.8,5.8,8.9,12.6,17.9,26.7,41.0,59.5,77.0,89.0,96.0,100.0
80%,0,2.0,3.9,6.1,9.1,13.5,21.2,34.5,53.2,71.9,85.5,94.0,100.0
90%,0,1.2,2.3,3.5,5.2,7.9,13.4,25.0,44.6,66.0,81.1,91.2,100.0

Fourth Quartile,

percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0
10%,0,16.9,27.5,34.4,40.1,44.6,48.7,52.8,57.6,68.0,84.5,96.5,100
20%,0,12.7,21.9,28.6,34.3,39.1,43.4,47.9,53.2,63.3,79.4,93.5,100
30%,0,9.9,18.0,24.4,29.8,34.5,39.2,43.9,49.3,59.3,75.5,91.0,100
40%,0,8.1,15.2,21.1,26.1,30.6,35.1,39.6,45.4,55.5,72.0,88.8,100
50%,0,6.5,12.6,17.8,22.3,26.5,31.0,35.7,41.5,51.6,68.3,86.4,100
60%,0,5.1,10.1,14.5,18.4,22.4,26.6,31.2,37.2,47.4,64.3,83.8,100
70%,0,3.8,7.7,11.3,14.6,18.1,21.9,26.1,32.1,42.5,59.5,80.5,100
80%,0,2.7,5.4,8.0,10.5,13.2,16.5,20.3,25.8,35.8,52.9,76.0,100
