Tabulated Temporal Distribution Data,,,,,,,,,,,,,
NOAA Atlas 14 Volume 3 Version 2,,,,,,,,,,,,,
Puerto Rico and the U.S. Virgin Islands,,,,,,,,,,,,,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 12-hour duration.  ,,,,,,,,,,,,,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,,,,,,,,,,,,,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,,,,,,,,,,,,,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,,,,,,,,,,,,,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,,,,,,,,,,,,,

First Quartile ,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,45.3,79.8,95.8,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
20%,0,32.3,65.3,87.3,96.5,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100
30%,0,22.8,51.3,77.0,92.0,97.8,99.5,100.0,100.0,100.0,100.0,100.0,100
40%,0,18.0,42.0,65.3,82.3,92.3,96.8,98.3,99.0,99.8,100.0,100.0,100
50%,0,15.3,36.5,58.3,74.8,85.3,90.8,94.0,96.5,98.0,99.0,99.8,100
60%,0,11.8,31.0,51.3,65.3,74.5,81.8,88.7,91.9,94.3,96.2,97.8,100
70%,0,9.0,26.5,45.3,56.5,65.4,72.7,80.2,85.6,90.0,93.5,96.3,100
80%,0,7.0,22.5,39.8,50.5,57.7,65.0,71.7,77.9,84.0,89.7,93.3,100
90%,0,4.5,16.8,33.5,45.0,51.8,57.7,64.4,70.6,76.7,82.8,89.3,100

Second Quartile,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,9.8,21.5,37.8,60.0,81.0,92.5,96.8,98.8,99.8,100.0,100.0,100
20%,0,7.5,18.0,32.5,51.8,71.8,86.5,94.0,96.8,98.3,99.5,100.0,100
30%,0,5.3,14.0,27.5,45.8,65.0,80.0,89.3,94.0,96.8,98.8,99.8,100
40%,0,4.5,11.0,22.5,40.0,59.0,75.0,86.0,91.8,95.0,97.8,99.5,100
50%,0,3.5,9.0,19.3,35.3,53.3,69.3,81.3,88.8,93.5,96.8,98.8,100
60%,0,2.8,7.8,16.0,29.5,48.0,65.0,76.5,84.5,90.8,95.3,98.0,100
70%,0,2.5,6.3,12.8,25.8,44.0,60.3,71.5,79.8,87.3,93.3,97.0,100
80%,0,2.0,4.8,10.3,21.8,38.8,54.3,65.0,74.0,83.0,90.8,96.0,100
90%,0,1.0,2.8,6.5,15.5,32.3,49.8,60.8,68.5,77.0,85.8,93.5,100

Third Quartile,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,9.9,16.6,25.5,33.0,41.0,54.8,74.8,88.5,95.1,98.3,99.5,100
20%,0,6.8,13.0,19.5,27.3,35.8,48.0,66.0,82.0,91.0,95.8,98.5,100
30%,0,5.5,11.5,17.3,23.8,32.5,44.5,61.0,77.5,88.0,94.0,97.8,100
40%,0,4.8,9.5,15.0,21.5,30.0,41.8,56.8,72.8,85.3,92.8,97.3,100
50%,0,3.8,7.5,12.3,18.8,27.3,38.8,53.0,68.0,81.5,90.8,96.3,100
60%,0,2.8,5.8,10.3,16.6,24.9,36.2,49.2,65.3,79.8,89.5,95.5,100
70%,0,2.0,4.8,8.5,14.0,22.3,33.0,46.3,61.8,76.5,87.3,94.5,100
80%,0,2.0,4.0,6.5,10.8,18.3,29.3,42.8,58.3,73.5,85.0,93.0,100
90%,0,1.5,2.3,3.3,5.5,10.8,20.5,34.5,52.0,68.5,80.3,90.0,100

Fourth Quartile,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,17.4,28.1,34.5,40.2,45.8,51.3,56.4,61.5,70.4,84.9,96.4,100
20%,0,11.9,22.4,28.9,35.0,41.4,47.5,53.0,58.4,66.9,80.7,93.4,100
30%,0,9.4,18.3,24.3,31.6,38.3,43.9,50.0,55.7,64.6,78.4,92.2,100
40%,0,8.2,15.8,21.0,28.3,34.0,40.2,46.4,52.6,61.7,75.5,90.0,100
50%,0,6.6,12.7,17.7,24.5,30.4,35.6,41.4,47.6,56.9,71.6,87.7,100
60%,0,5.4,10.4,14.6,21.7,27.2,32.2,37.7,43.2,52.2,67.4,85.2,100
70%,0,3.9,8.4,11.4,16.9,22.6,27.7,32.4,37.4,47.2,62.5,81.5,100
80%,0,2.3,5.7,7.9,12.5,17.5,22.4,27.7,33.2,42.8,58.7,79.4,100
90%,0,1.6,2.7,3.9,6.2,10.5,15.2,20.0,26.5,36.0,49.7,71.1,100

All Cases,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,25.0,53.5,78.8,92.8,97.8,99.5,100.0,100.0,100.0,100.0,100.0,100
