Tabulated Temporal Distribution Data,
NOAA Atlas 14 Volume 1 Version 3.2,
Semiarid Southwest Convective Area,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 6-hour duration.  ,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,

First Quartile,

percent of duration,0.0,8.3,18.3,25.3,34.8,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0,
10%,0,46.7,82.0,95.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
20%,0,40.7,72.9,89.2,96.6,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
30%,0,34.1,62.5,80.7,92.2,97.7,99.4,100.0,100.0,100.0,100.0,100.0,100.0,
40%,0,28.5,53.4,73.0,87.7,95.0,97.6,99.0,99.7,100.0,100.0,100.0,100.0,
50%,0,23.1,44.8,65.0,81.6,90.1,93.6,96.5,98.6,99.7,99.9,100.0,100.0,
60%,0,18.6,37.3,57.2,74.3,83.5,87.9,91.4,94.2,96.8,98.7,99.7,100.0,
70%,0,15.0,31.5,49.9,65.4,74.3,79.9,84.9,89.3,93.1,96.2,98.4,100.0,
80%,0,11.9,26.0,43.2,57.2,65.1,71.1,77.1,82.5,87.6,92.3,96.3,100.0,
90%,0,8.4,20.0,35.6,48.2,55.6,61.6,67.4,73.1,79.5,86.5,93.5,100.0,
,
Second Quartile,
,
percent of duration,0.0,8.3,16.7,25.0,32.1,40.3,50.0,58.3,66.7,75.0,83.3,91.7,100.0,
10%,0,10.1,22.9,43.3,66.0,82.9,94.0,98.8,99.7,100.0,100.0,100.0,100.0,
20%,0,8.2,19.3,36.8,56.8,74.5,88.1,95.2,98.2,99.6,99.9,100.0,100.0,
30%,0,6.8,16.6,32.3,50.4,67.8,82.4,90.9,95.2,97.9,99.3,99.9,100.0,
40%,0,5.7,14.1,28.0,44.7,61.9,76.8,86.1,91.8,95.7,98.2,99.5,100.0,
50%,0,4.8,12.4,24.8,39.6,55.8,71.0,81.3,88.0,92.7,96.1,98.4,100.0,
60%,0,4.2,10.8,21.8,35.3,51.1,66.1,76.4,83.7,89.5,93.8,97.1,100.0,
70%,0,3.1,8.9,18.8,31.1,46.4,61.4,71.6,79.1,85.6,91.1,95.7,100.0,
80%,0,2.3,7.1,15.5,26.8,41.9,56.7,66.7,74.3,81.8,88.7,94.5,100.0,
90%,0,1.1,4.6,11.3,21.8,37.2,51.8,61.3,69.3,77.4,85.4,92.8,100.0,
,
Third Quartile,
,
percent of duration,0.0,8.3,16.7,25.0,33.3,42.6,50.0,58.3,66.7,75.0,83.3,91.7,100.0,
10%,0,10.7,20.1,27.7,34.6,41.8,51.8,68.4,85.5,94.8,98.6,100.0,100.0,
20%,0,7.8,15.6,23.3,31.0,38.7,48.4,63.5,79.4,90.2,96.6,99.4,100.0,
30%,0,6.5,13.2,20.4,28.1,35.8,45.6,59.7,74.4,85.8,93.7,97.9,100.0,
40%,0,5.9,12.0,18.6,25.4,33.0,43.0,57.0,71.2,82.4,91.1,96.5,100.0,
50%,0,4.9,10.2,16.3,22.8,30.0,39.8,53.5,67.6,79.3,88.7,95.2,100.0,
60%,0,4.2,8.7,13.9,19.8,26.9,36.6,50.2,64.4,76.9,86.9,94.1,100.0,
70%,0,3.6,7.5,11.9,17.2,23.5,32.9,46.9,61.8,74.6,85.5,93.5,100.0,
80%,0,2.7,5.9,9.4,13.6,19.1,28.2,42.5,57.8,71.2,83.2,92.4,100.0,
90%,0,1.7,3.8,6.3,9.3,13.7,22.1,36.4,52.6,67.5,80.4,90.7,100.0,
,
Fourth Quartile,
,
