Tabulated Temporal Distribution Data,,,,,,,,,,,,,
NOAA Atlas 14 Volume 3 Version 2,,,,,,,,,,,,,
Puerto Rico and the U.S. Virgin Islands,,,,,,,,,,,,,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 24-hour duration.  ,,,,,,,,,,,,,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,,,,,,,,,,,,,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,,,,,,,,,,,,,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,,,,,,,,,,,,,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,,,,,,,,,,,,,

First Quartile ,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,55.8,89.1,97.2,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
20%,0,39.8,71.3,88.7,95.7,98.3,99.5,100.0,100.0,100.0,100.0,100.0,100
30%,0,27.3,55.3,74.8,86.6,91.3,94.5,96.6,98.6,100.0,99.8,100.0,100
40%,0,19.0,41.8,64.5,78.3,85.0,88.1,91.5,95.0,97.5,99.0,99.8,100
50%,0,14.8,35.5,57.0,71.0,77.5,82.0,87.3,92.0,95.5,98.0,99.5,100
60%,0,11.5,29.8,50.5,64.3,71.0,76.0,81.3,87.0,92.5,96.3,98.3,100
70%,0,8.8,25.8,45.5,57.0,63.3,69.8,75.5,80.0,86.4,91.8,96.8,100
80%,0,6.5,20.8,38.8,50.5,57.0,62.8,67.8,72.8,79.3,86.8,93.8,100
90%,0,4.3,15.0,32.0,45.0,51.5,56.3,61.5,66.8,72.0,79.2,86.5,100

Second Quartile,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,9.0,18.5,36.5,62.5,84.6,93.9,97.0,98.5,99.5,100.0,100.0,100
20%,0,6.3,14.8,29.8,51.8,72.8,87.4,92.8,96.0,98.0,99.5,100.0,100
30%,0,4.5,11.3,24.3,44.3,64.8,79.8,88.5,93.5,96.8,98.8,99.8,100
40%,0,4.0,9.5,20.5,38.3,57.8,74.0,84.6,91.3,95.3,98.0,99.5,100
50%,0,3.0,7.5,18.0,35.8,54.5,69.3,80.0,87.8,93.3,96.8,98.8,100
60%,0,2.3,6.0,14.5,30.5,50.0,65.8,75.8,83.8,89.8,95.0,98.3,100
70%,0,2.0,5.3,11.9,25.7,44.8,61.8,72.1,80.3,86.5,92.3,97.0,100
80%,0,1.3,3.8,9.5,20.4,40.0,56.8,67.5,75.3,83.0,90.0,95.3,100
90%,0,1.0,2.3,6.0,13.6,30.8,50.0,61.9,70.2,78.9,86.0,93.3,100

Third Quartile,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,10.5,19.8,26.5,37.0,45.0,55.8,73.3,88.8,97.0,99.8,100.0,100
20%,0,8.3,15.6,22.3,30.8,39.0,50.0,66.3,82.8,93.5,98.3,99.8,100
30%,0,5.8,11.3,17.5,24.9,31.8,43.5,60.3,77.8,90.5,96.8,99.3,100
40%,0,4.5,8.8,14.0,20.5,28.0,38.5,54.8,73.5,87.5,94.8,98.3,100
50%,0,3.3,6.8,11.0,16.8,23.8,34.8,50.3,68.5,84.0,92.5,96.8,100
60%,0,2.3,5.3,8.7,13.8,19.3,29.3,45.3,63.8,80.0,90.5,96.0,100
70%,0,2.0,4.3,7.0,10.5,15.8,24.0,38.0,57.8,76.0,87.8,94.8,100
80%,0,1.3,3.0,4.8,6.5,10.3,18.0,32.5,52.8,71.0,83.8,92.8,100
90%,0,1.0,2.0,3.0,4.0,6.5,12.0,23.3,43.0,64.3,79.3,90.0,100

Fourth Quartile,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,22.5,31.4,34.5,38.7,42.2,45.7,49.1,54.6,64.9,82.6,95.6,100
20%,0,17.7,26.1,29.6,33.4,37.5,41.3,44.7,48.9,58.9,76.8,92.7,100
30%,0,13.3,20.9,25.3,29.6,32.8,37.0,39.8,44.7,55.3,73.2,89.6,100
40%,0,10.4,17.0,20.8,24.7,28.1,31.4,35.3,40.4,50.4,68.7,87.5,100
50%,0,8.1,13.1,16.0,20.6,23.9,27.4,30.8,36.0,44.6,62.5,84.0,100
60%,0,5.4,9.4,12.0,15.4,18.9,21.8,26.4,32.0,40.9,56.9,78.9,100
70%,0,4.0,7.3,9.0,11.6,14.0,17.5,22.0,27.6,36.6,52.3,74.7,100
80%,0,2.8,4.8,6.5,8.2,9.8,12.0,15.6,20.8,31.0,44.8,67.8,100
90%,0,1.8,2.7,3.7,5.1,6.6,7.7,10.2,14.9,21.6,33.8,57.1,100

All Cases,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,29.5,55.5,73.5,84.0,91.3,96.0,98.0,99.0,99.8,100.0,100.0,100
