Tabulated Temporal Distribution Data,,,,,,,,,,,,,
NOAA Atlas 14 Volume 3 Version 2,,,,,,,,,,,,,
Puerto Rico and the U.S. Virgin Islands,,,,,,,,,,,,,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 6-hour duration.  ,,,,,,,,,,,,,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,,,,,,,,,,,,,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,,,,,,,,,,,,,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,,,,,,,,,,,,,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,,,,,,,,,,,,,

First Quartile ,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,35.3,66.0,87.0,97.2,99.3,100.0,100.0,100.0,100.0,100.0,100.0,100
20%,0,29.7,58.0,80.7,92.3,96.7,98.3,99.3,100.0,100.0,100.0,100.0,100
30%,0,25.3,49.7,71.3,85.0,93.0,96.7,98.3,99.3,100.0,100.0,100.0,100
40%,0,21.0,42.0,61.0,75.3,85.0,91.7,95.3,98.0,99.3,100.0,100.0,100
50%,0,18.0,37.0,54.3,66.3,75.7,83.3,89.7,93.7,96.3,98.3,99.3,100
60%,0,15.3,32.3,49.3,61.0,69.0,75.7,82.3,88.3,92.7,95.7,98.0,100
70%,0,13.0,29.0,44.3,55.7,63.0,69.7,76.0,81.7,87.3,92.3,96.7,100
80%,0,11.0,25.7,40.3,50.0,56.3,62.7,69.3,75.3,81.3,87.7,94.0,100
90%,0,8.7,21.0,34.0,43.7,50.0,55.7,61.3,67.0,73.7,82.0,91.0,100

Second Quartile,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,13.0,25.3,41.0,60.3,80.0,92.3,98.0,99.3,100.0,100.0,100.0,100
20%,0,10.3,21.0,34.3,52.0,70.3,85.0,93.0,97.3,99.0,100.0,100.0,100
30%,0,8.0,17.7,30.0,45.3,61.7,77.3,87.0,93.7,97.3,99.3,100.0,100
40%,0,6.7,15.0,26.5,41.1,56.9,71.7,82.6,89.3,94.3,97.7,99.3,100
50%,0,5.7,13.3,24.0,37.4,53.0,66.7,78.0,86.0,91.7,95.3,98.0,100
60%,0,5.0,11.3,20.8,33.8,49.2,63.2,74.5,82.0,88.7,93.7,96.8,100
70%,0,4.3,9.3,16.7,28.0,43.7,58.7,70.0,78.7,85.3,91.0,95.7,100
80%,0,3.3,7.0,13.0,24.0,39.7,54.3,65.3,73.7,81.3,88.7,94.3,100
90%,0,2.0,4.7,9.3,19.0,34.3,49.0,60.7,68.3,76.3,84.7,92.3,100

Third Quartile,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,10.7,19.7,27.7,35.3,44.3,55.3,70.7,85.3,95.7,99.3,100.0,100
20%,0,7.7,15.3,22.3,30.3,38.7,50.3,65.3,80.3,91.7,97.0,99.3,100
30%,0,6.0,12.3,19.6,27.0,35.3,47.3,61.7,77.3,88.7,95.7,98.7,100
40%,0,5.0,10.7,16.8,24.1,32.3,43.7,57.7,74.0,86.3,93.7,97.3,100
50%,0,4.3,9.0,14.3,20.8,29.2,40.3,54.3,69.6,82.7,91.7,96.3,100
60%,0,3.7,7.3,11.7,17.7,26.0,37.0,50.7,65.7,79.0,89.0,95.3,100
70%,0,2.7,5.7,9.0,14.0,21.0,32.0,46.7,62.0,76.0,86.7,94.7,100
80%,0,1.7,4.0,6.3,10.0,15.0,25.3,39.0,56.0,71.7,84.7,93.7,100
90%,0,1.3,2.7,4.0,6.3,11.0,19.7,31.7,49.0,66.0,81.3,91.3,100

Fourth Quartile,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,11.6,22.9,30.0,38.3,45.5,51.4,57.6,64.7,73.2,82.4,91.4,100
20%,0,10.0,19.2,26.2,34.4,40.7,46.8,53.3,61.0,69.9,79.7,89.9,100
30%,0,8.5,16.5,22.7,30.6,37.1,43.5,50.5,58.6,67.8,78.1,89.0,100
40%,0,7.1,14.5,19.8,27.3,33.9,40.6,47.9,56.2,65.7,76.4,88.0,100
50%,0,6.3,12.7,17.7,24.5,30.8,37.6,44.9,53.4,63.6,75.0,87.2,100
60%,0,5.6,11.0,15.0,21.6,28.1,34.4,41.6,50.0,60.2,72.1,85.6,100
70%,0,4.4,8.9,12.3,18.3,24.8,31.0,38.1,46.8,57.3,69.9,84.4,100
80%,0,3.4,7.0,9.4,14.0,20.0,25.9,32.9,41.8,53.0,66.6,82.6,100
90%,0,2.1,4.5,6.2,9.4,13.7,18.3,24.3,33.2,45.3,60.8,79.5,100

All Cases,,,,,,,,,,,,,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,27.3,54.0,75.0,88.5,95.8,98.6,99.5,100.0,100.0,100.0,100.0,100
